key,0,1,2,3,4,5,6,7,8,9,10,11,12,13
#,IsRandom,ClassJobCategory,RetainerLevel,,RetainerTaskParameter,VentureCost,MaxTime{min},Experience,RequiredItemLevel,ConditionParam[0],ConditionParam[1],RequiredGathering,,Task
int32,bit&01,ClassJobCategory,byte,uint16,RetainerTaskParameter,uint16,uint16,int32,uint16,byte,byte,uint16,uint16,Row
0,False,"",1,0,"RetainerTaskParameter#1",1,0,0,0,0,0,0,0,""
1,False,"Disciples of War or Magic",1,0,"RetainerTaskParameter#1",1,60,500,0,0,0,0,0,"Animal Skin"
2,False,"Disciples of War or Magic",2,0,"RetainerTaskParameter#2",1,60,800,0,0,0,0,0,"Animal Sinew"
3,False,"Disciples of War or Magic",3,0,"RetainerTaskParameter#3",1,60,800,0,0,0,0,0,"Shriekshroom"
4,False,"Disciples of War or Magic",4,0,"RetainerTaskParameter#4",1,60,1400,0,0,0,0,0,"Honey"
5,False,"Disciples of War or Magic",5,0,"RetainerTaskParameter#5",1,60,1400,0,0,0,0,0,"Ram Horn"
6,False,"Disciples of War or Magic",6,0,"RetainerTaskParameter#6",1,60,3000,0,0,0,0,0,"Beastkin Blood"
7,False,"Disciples of War or Magic",7,0,"RetainerTaskParameter#7",1,60,3000,0,0,0,0,0,"Marmot Meat"
8,False,"Disciples of War or Magic",8,0,"RetainerTaskParameter#8",1,60,5000,0,0,0,0,0,"Animal Hide"
9,False,"Disciples of War or Magic",9,0,"RetainerTaskParameter#9",1,60,5000,0,0,0,0,0,"Mutton Loin"
10,False,"Disciples of War or Magic",10,0,"RetainerTaskParameter#10",1,60,7400,0,0,0,0,0,"Bat Fang"
11,False,"Disciples of War or Magic",10,0,"RetainerTaskParameter#10",1,60,7400,0,0,0,0,0,"Red Landtrap Leaf"
12,False,"Disciples of War or Magic",10,0,"RetainerTaskParameter#10",1,60,7400,0,0,0,0,0,"Beast Sinew"
13,False,"Disciples of War or Magic",11,0,"RetainerTaskParameter#11",1,60,7400,0,0,0,0,0,"Dodo Tenderloin"
14,False,"Disciples of War or Magic",11,0,"RetainerTaskParameter#11",1,60,7400,0,0,0,0,0,"Jellyfish Cnida"
15,False,"Disciples of War or Magic",12,0,"RetainerTaskParameter#12",1,60,10200,0,0,0,0,0,"Mole Meat"
16,False,"Disciples of War or Magic",12,0,"RetainerTaskParameter#12",1,60,10200,0,0,0,0,0,"Puk Wing"
17,False,"Disciples of War or Magic",13,0,"RetainerTaskParameter#13",1,60,10200,0,0,0,0,0,"Viscous Secretions"
18,False,"Disciples of War or Magic",14,0,"RetainerTaskParameter#14",1,60,13100,0,0,0,0,0,"Dodo Egg"
19,False,"Disciples of War or Magic",14,0,"RetainerTaskParameter#14",1,60,13100,0,0,0,0,0,"Bat Wing"
20,False,"Disciples of War or Magic",15,0,"RetainerTaskParameter#15",1,60,13100,0,0,0,0,0,"Antelope Horn"
21,False,"Disciples of War or Magic",15,0,"RetainerTaskParameter#15",1,60,13100,0,0,0,0,0,"Goobbue Fang"
22,False,"Disciples of War or Magic",15,0,"RetainerTaskParameter#15",1,60,13100,0,0,0,0,0,"Yellow Yarzon Leg"
23,False,"Disciples of War or Magic",16,0,"RetainerTaskParameter#16",1,60,17400,0,0,0,0,0,"Imp Wing"
24,False,"Disciples of War or Magic",17,0,"RetainerTaskParameter#17",1,60,17400,0,0,0,0,0,"Jellyfish Umbrella"
25,False,"Disciples of War or Magic",18,0,"RetainerTaskParameter#18",1,60,21900,0,0,0,0,0,"Aldgoat Skin"
26,False,"Disciples of War or Magic",19,0,"RetainerTaskParameter#19",1,60,21900,0,0,0,0,0,"Dodo Feather"
27,False,"Disciples of War or Magic",20,0,"RetainerTaskParameter#20",1,60,24900,0,0,0,0,0,"Green Megalocrab Shell"
28,False,"Disciples of War or Magic",21,0,"RetainerTaskParameter#21",1,60,24900,1,0,0,0,0,"Antelope Shank"
29,False,"Disciples of War or Magic",22,0,"RetainerTaskParameter#22",1,60,26100,2,0,0,0,0,"Megalocrab Leg"
30,False,"Disciples of War or Magic",23,0,"RetainerTaskParameter#23",1,60,26100,3,0,0,0,0,"Acidic Secretions"
31,False,"Disciples of War or Magic",24,0,"RetainerTaskParameter#24",1,60,27200,4,0,0,0,0,"Diremite Web"
32,False,"Disciples of War or Magic",25,0,"RetainerTaskParameter#25",1,60,27200,5,0,0,0,0,"Aldgoat Horn"
33,False,"Disciples of War or Magic",25,0,"RetainerTaskParameter#25",1,60,27200,5,0,0,0,0,"Scalekin Blood"
34,False,"Disciples of War or Magic",25,0,"RetainerTaskParameter#25",1,60,27200,5,0,0,0,0,"Wolf Fang"
35,False,"Disciples of War or Magic",25,0,"RetainerTaskParameter#25",1,60,27200,5,0,0,0,0,"Treant Sap"
36,False,"Disciples of War or Magic",25,0,"RetainerTaskParameter#25",1,60,27200,5,0,0,0,0,"Aldgoat Chuck"
37,False,"Disciples of War or Magic",25,0,"RetainerTaskParameter#25",1,60,27200,5,0,0,0,0,"Diremite Sinew"
38,False,"Disciples of War or Magic",26,0,"RetainerTaskParameter#26",1,60,32100,6,0,0,0,0,"Gigantoad Skin"
39,False,"Disciples of War or Magic",26,0,"RetainerTaskParameter#26",1,60,32100,6,0,0,0,0,"Bomb Ash"
40,False,"Disciples of War or Magic",27,0,"RetainerTaskParameter#27",1,60,32100,7,0,0,0,0,"Puk Egg"
41,False,"Disciples of War or Magic",28,0,"RetainerTaskParameter#28",1,60,34500,8,0,0,0,0,"Night Milk"
42,False,"Disciples of War or Magic",28,0,"RetainerTaskParameter#28",1,60,34500,8,0,0,0,0,"Orobon Liver"
43,False,"Disciples of War or Magic",29,0,"RetainerTaskParameter#29",1,60,34500,9,0,0,0,0,"Blue Yarzon Leg"
44,False,"Disciples of War or Magic",29,0,"RetainerTaskParameter#29",1,60,34500,9,0,0,0,0,"Cactuar Needle"
45,False,"Disciples of War or Magic",30,0,"RetainerTaskParameter#30",1,60,35200,10,0,0,0,0,"Sandworm Fang"
46,False,"Disciples of War or Magic",30,0,"RetainerTaskParameter#30",1,60,35200,10,0,0,0,0,"Blue Landtrap Leaf"
47,False,"Disciples of War or Magic",30,0,"RetainerTaskParameter#30",1,60,35200,10,0,0,0,0,"Morbol Vine"
48,False,"Disciples of War or Magic",31,0,"RetainerTaskParameter#31",1,60,35200,11,0,0,0,0,"Formic Acid"
49,False,"Disciples of War or Magic",32,0,"RetainerTaskParameter#32",1,60,38600,12,0,0,0,0,"Raptor Shank"
50,False,"Disciples of War or Magic",32,0,"RetainerTaskParameter#32",1,60,38600,12,0,0,0,0,"Hippogryph Sinew"
51,False,"Disciples of War or Magic",33,0,"RetainerTaskParameter#33",1,60,38600,13,0,0,0,0,"Boar Hide"
52,False,"Disciples of War or Magic",34,0,"RetainerTaskParameter#34",1,60,40800,14,0,0,0,0,"Peiste Skin"
53,False,"Disciples of War or Magic",35,0,"RetainerTaskParameter#35",1,60,40800,15,0,0,0,0,"Fleece"
54,False,"Disciples of War or Magic",36,0,"RetainerTaskParameter#36",1,60,44800,16,0,0,0,0,"Spoken Blood"
55,False,"Disciples of War or Magic",37,0,"RetainerTaskParameter#37",1,60,44800,17,0,0,0,0,"Karakul Skin"
56,False,"Disciples of War or Magic",38,0,"RetainerTaskParameter#38",1,60,49000,18,0,0,0,0,"Grenade Ash"
57,False,"Disciples of War or Magic",39,0,"RetainerTaskParameter#39",1,60,49000,19,0,0,0,0,"Raptor Sinew"
58,False,"Disciples of War or Magic",40,0,"RetainerTaskParameter#40",1,60,52600,20,0,0,0,0,"Ochu Vine"
59,False,"Disciples of War or Magic",41,0,"RetainerTaskParameter#41",1,60,52600,21,0,0,0,0,"Pudding Flesh"
60,False,"Disciples of War or Magic",42,0,"RetainerTaskParameter#42",1,60,54200,22,0,0,0,0,"Basilisk Egg"
61,False,"Disciples of War or Magic",43,0,"RetainerTaskParameter#43",1,60,54200,23,0,0,0,0,"Buffalo Sirloin"
62,False,"Disciples of War or Magic",44,0,"RetainerTaskParameter#44",1,60,55700,24,0,0,0,0,"Apkallu Egg"
63,False,"Disciples of War or Magic",45,0,"RetainerTaskParameter#45",1,60,55700,25,0,0,0,0,"Apkallu Down"
64,False,"Disciples of War or Magic",46,0,"RetainerTaskParameter#46",1,60,61900,26,0,0,0,0,"Ahriman Wing"
65,False,"Disciples of War or Magic",47,0,"RetainerTaskParameter#47",1,60,61900,27,0,0,0,0,"Eft Tail"
